Attribute,Description,Valid Values,DependsOn,Required,Properties,Validation Rules,columnType,Format,Pattern,Minimum,Maximum,IsTemplate,Source
10x Visium Auxiliary Files,"Auxiliary data associated with spot/slide analysis (aligned Images, quality control files, etc)  from Spatial Transcriptomics.",,"10xVisiumAuxiliaryFiles_id, Filename, 10xVisiumRNALevel1 Key, 10xVisiumRNALevel2 Key, 10xVisiumRNALevel3 Key, 10xVisiumRNALevel4 Key, Biospecimen Key, Study Key, DatasetView Key, File Alias, File Description, File Design, File Level, File Assay, File Species, File Url, File Format, File Data Use Codes, File Longitudinal Group, File Longitudinal Event Type, File Longitudinal Sequence Identifier, File Longitudinal Time Elapsed Unit, File Longitudinal Total Time Elapsed, Visium Run ID, Visium File Type, Visium Slide ID, Visium Capture Area, Workflow Version, Workflow Link",,,,,,,,,True,
10xVisiumAuxiliaryFiles_id,"Unique row identifier, used as a primary key for record updates. This should be equivalent to the file Synapse Id unless otherwise indicated.",,,True,primary_key,,string,,"^syn\d{7,8}$",,,,
