"Attribute","Description","Valid Values","DependsOn","Required","Properties","Parent","DependsOn Component","Source","Validation Rules","Nonpreferred Terms","Ontology Identifier","Ontology Url","NCIt Code","Notes"
"R1","","","","FALSE","","Read Indicator","","","","","","","",""
"R2","","","","FALSE","","Read Indicator","","","","","","","",""
"R1&R2","","","","FALSE","","Read Indicator","","","","","","","",""
"I1","","","","FALSE","","Read Indicator","","","","","","","",""
"Other","Different than the one(s) previously specified or mentioned.","","","FALSE","","Read Indicator","","","","","NCIT:C17649","http://purl.obolibrary.org/obo/NCIT_C17649","C17649",""
