Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
Bulk Cells,,,,,,,,GC Data Model v6.0.2/Genomic Info/library_source_material,,,,,,
Bulk Tissue,,,,,,,,GC Data Model v6.0.2/Genomic Info/library_source_material,,,,,,
Bulk Nuclei,,,,,,,,GC Data Model v6.0.2/Genomic Info/library_source_material,,,,,,
Single-nuclei,,,,,,,,GC Data Model v6.0.2/Genomic Info/library_source_material,,,,,,
Single-cells,,,,,,,,GC Data Model v6.0.2/Genomic Info/library_source_material,,,,,,
Not Reported,,,,,,,,GC Data Model v6.0.2/Genomic Info/library_source_material,,,,,,
