Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
Core,"A shared resource or service component of a grant that supports multiple projects (e.g., a data management or administrative core).",,,FALSE,,Project Type,,,,,,,,
Project,An individual research project component of a grant.,,,FALSE,,Project Type,,,,,,,,
