"Attribute","Description","Valid Values","DependsOn","Required","Properties","Parent","DependsOn Component","Source","Validation Rules","Nonpreferred Terms","Ontology Identifier","Ontology Url","NCIt Code","Notes"
"Yes","The affirmative response to a question.","","","FALSE","","Channel Passed QC","","","","","NCIT:C49488","http://purl.obolibrary.org/obo/NCIT_C49488","C49488",""
"No - Channel Failed QC","The non-affirmative response to a question.","","","FALSE","","Channel Passed QC","","","","","NCIT:C49487","http://purl.obolibrary.org/obo/NCIT_C49487","C49487",""
