T0
T1
T1a
T1a1
T1a2
T1b
T1b1
T1b2
T1c
T1mi
T2
T2a
T2a1
T2a2
T2b
T2c
T3
T3a
T3b
T3c
T4
T4a
T4b
T4c
T4d
Ta
Tis
Tis (DCIS)
Tis (LCIS)
Tis (Paget's)
TX
T2d
T4e
T3d
T5
Unknown
Not Reported
