454 GS Junior
454 GS FLX Titanium
454 GS FLX+
454 GS FLX
454 GS 20
454 GS
Illumina NextSeq 550
Illumina NextSeq 500
Illumina MiSeq
Illumina MiniSeq
Illumina HiSeq 4000
Illumina HiSeq 3000
Illumina HiSeq 2500
Illumina HiSeq 2000
Illumina HiSeq 1500
Illumina HiSeq 1000
Illumina HiScanSQ
Illumina Genome Analyzer IIx
Illumina Genome Analyzer
Ion Torrent Proton
Ion Torrent PGM
PacBio RS II
PacBio RS
Complete Genomics
BGISEQ-500
PromethION
MinION
GridION
AB 3730xL Genetic Analyzer
AB 3730 Genetic Analyzer
AB 3500xL Genetic Analyzer
AB 3500 Genetic Analyzer
AB 3130xL Genetic Analyzer
AB 3130 Genetic Analyzer
AB 310 Genetic Analyzer
Ion Torrent S5
Ion Torrent S5 XL
Helicos HeliScope
Illumina Genome Analyzer II
AB SOLiD 4
Unknown
Other
AB SOLiD 2
AB SOLiD 3
Not Reported
Illumina NovaSeq
Illumina NextSeq
Illumina HiSeq X Five
Illumina HiSeq X Ten
Illumina iSeq 100
AB SOLiD System
DNBSEQ-G400
DNBSEQ-T7
MGISEQ-2000RS
PacBio Sequel
PacBio Sequel II
DNBSEQ-G50
AB SOLiD 3 Plus System
AB SOLiD 4hq System
AB 5500xl Genetic Analyzer
AB 5500x-Wl Genetic Analyzer
AB SOLiD PI System
AB 5500 Genetic Analyzer
Illumina NovaSeq 6000
Ultima Genomics UG100
Illumina NextSeq 2500
Illumina NovaSeq X Plus
