N0
N0 (i+)
N0 (i-)
N0 (mol+)
N0 (mol-)
N1
N1a
N1b
N1bI
N1bII
N1bIII
N1bIV
N1c
N1mi
N2
N2a
N2b
N2c
N3
N3a
N3b
N3c
N4
NX
Unknown
Not Reported
