Attribute,Description,Valid Values,DependsOn,Required,Properties,Validation Rules,columnType,Format,Pattern,Minimum,Maximum,IsTemplate,Source
Consortium,Consortium information,,"Consortium_id, Consortium Name, Consortium Display Name, Consortium Full Name, Consortium Description, Consortium Funding Agency, Website",,,,,,,,,True,
Consortium Name,"Machine readable name of the research consortium. (e.g. sage_bionetworks, csbc_pson, etc.)",,,True,,,string,,,,,,
Consortium Display Name,"Human readable display name of research consortium (e.g. Sage Bionetworks, CSBC, PS-ON, etc.)",,,True,,,string,,,,,,
Consortium Full Name,Full name of research consortium. (e.g. Cancer Systems Biology Consortium).,,,True,,,string,,,,,,
Consortium Description,Description of research consortium,,,True,,,string,,,,,,
Consortium Funding Agency,Funding agency of research consortium ,"Division of Cancer Control and Population Sciences, Department of Defense, Food and Drug Administration, Foundation Medicine Inc, National Cancer Institute, National Institutes of Health, National Library of Medicine, NCI Center for Cancer Research, Purdue University Center for Cancer Research, UNC Lineberger Comprehensive Cancer Center, Georgetown Lombardi Comprehensive Cancer Center, National Clinical Trials Network, Proteogenomic Translational Research Centers, Evelyn H. Lauder Founder’s Fund for Metastatic Breast Cancer Research, Center for Inherited Disease Research, Transplant Recipients International Organization, Multiple Myeloma Research Foundation, Leukemia and Lymphoma Society, Center for Biomedical Informatics and Information Technology, Knight Cancer Institute, Broad Institute",,True,CRDC_CDE:16002760,,string,,,,,,
Website,Website of research consortium,,,True,,,string,uri,,,,,
Consortium_id,"Unique ID associated with a consortium, used as a key for record linking and updates.","program.ccbir, program.csbc, program.htan, program.icbp, program.metnet, program.nci, program.nci-clinical-and-translational-exploratory-developmental-studies, program.pdmc, program.ps-on, program.sage-bionetworks, program.tec",,True,primary_key,,string,,,,,,
