Component,NanoStringGeoMxAuxiliaryFiles_id,Synapse ID of GeoMx DSP ROI Segment Annotation File,Synapse ID of GeoMx DSP PKC File,Synapse ID of GeoMx Lab Worksheet File,Synapse ID of GeoMx DSP Config File
NanoStringGeoMxAuxiliaryFiles,,,,,
