Component,ImagingChannel_id,Study Key,Channel Identifier,Channel Name,Channel Passed QC,Channel Cycle Number,Channel Sub-cycle Number,Channel Antibody Role,Channel Target Name,Channel Antibody Name,Channel Resource ID,Channel Fluorophore,Channel Antibody Clone,Channel Antibody Lot,Channel Antibody Vendor,Channel Antibody Catalog Number,Channel Excitation Wavelength,Channel Emission Wavelength,Channel Excitation Bandwidth,Channel Emission Bandwidth,Channel Metal Symbol,Channel Metal Isotope,Channel Oligo Barcode Upper Strand,Channel Oligo Barcode Lower Strand,Channel Probe Dilution Ratio,Channel Probe Concentration
ImagingChannel,,,,,,,,,,,,,,,,,,,,,,,,,,
