Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
Commercial,Software which you have to pay to access.,,,FALSE,,Tool Cost,,,,,,,,
Free of Charge,,,,FALSE,,Tool Cost,,,,,,,,
Free of Charge (With Restrictions),,,,FALSE,,Tool Cost,,,,,,,,
