Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
Developer,,,,FALSE,,Tool Entity Role,,,,,credit:software,https://credit.niso.org/contributor-roles/software,,
Maintainer,,,,FALSE,,Tool Entity Role,,,,,schema:maintainer,https://schema.org/maintainer,,
Provider,,,,FALSE,,Tool Entity Role,,,,,OBI:0000947,http://purl.obolibrary.org/obo/OBI_0000947,,
Documentor,,,,FALSE,,Tool Entity Role,,,,,CRO:0000091,http://purl.obolibrary.org/obo/CRO_0000091,,
Contributor,,,,FALSE,,Tool Entity Role,,,,,DCTERMS:contributor,http://purl.org/dc/terms/contributor,,
Support,,,,FALSE,,Tool Entity Role,,,,,,,,
Primary Contact,,,,FALSE,,Tool Entity Role,,,,,NCIT:C127533,http://purl.obolibrary.org/obo/NCIT_C127533,C127533,
