Attribute,Description,Valid Values,DependsOn,Required,Properties,Validation Rules,columnType,Format,Pattern,Minimum,Maximum,IsTemplate,Source
NanoString GeoMx Auxiliary Files,Contains identifiers for auxiliary files associated with Nanostring GeoMx Spatial Profiling experiments.,,"NanoStringGeoMxAuxiliaryFiles_id, Synapse ID of GeoMx DSP ROI Segment Annotation File, Synapse ID of GeoMx DSP PKC File, Synapse ID of GeoMx Lab Worksheet File, Synapse ID of GeoMx DSP Config File",,,,,,,,,True,
NanoStringGeoMxAuxiliaryFiles_id,"Unique row identifier, used as a primary key for record updates. This should be equivalent to the file Synapse Id unless otherwise indicated.",,,TRUE,,,string,,,,,,
Synapse ID of GeoMx Lab Worksheet File,Synapse ID(s) of Lab Worksheet Files output from the GeoMx DSP workflow. Multiple files are listed as comma separated values.,,,,,,string_list,,syn\d+,,,,
Synapse ID of GeoMx DSP PKC File,The Synapse ID(s) associated with the PKC mapping file for the assay. Multiple files are listed as comma separated values.,,,,,,string_list,,syn\d+,,,,
Synapse ID of GeoMx DSP ROI Segment Annotation File,Synapse ID(s) for ROI/AOI/Segmentation annotations in the GeoMx DSP experiment.,,,,,,string_list,,syn\d+,,,,
Synapse ID of GeoMx DSP Config File,Synapse ID of config.ini file generated by the GeoMx DSP workflow.,,,,,,string_list,,syn\d+,,,,
