Attribute,Description,Valid Values,DependsOn,Required,Properties,Validation Rules,columnType,Format,Pattern,Minimum,Maximum,IsTemplate,Source
NanoString GeoMx DSP Level 3,Files contain processed count data from the NanoString GeoMx DSP Pipeline.,,"NanoStringGeoMxDSPLevel3_id, Filename, NanoStringGeoMxDSPLevel1 Key, NanoStringGeoMxDSPLevel2 Key, NanoStringGeoMxAuxiliaryFiles Key, Biospecimen Key, Study Key, DatasetView Key, File Alias, File Description, File Design, File Level, File Assay, File Species, File Url, File Format, File Data Use Codes, File Longitudinal Group, File Longitudinal Event Type, File Longitudinal Sequence Identifier, File Longitudinal Time Elapsed Unit, File Longitudinal Total Time Elapsed, NGS Unique Probe Count, NGS Unique Target Count, NGS Matrix Type, Software and Version, Workflow Type, Workflow Parameter Description, Workflow Link",,,,,,,,,True,
NanoStringGeoMxDSPLevel3_id,"Unique row identifier, used as a primary key for record updates. This should be equivalent to the file Synapse Id unless otherwise indicated.",,,True,primary_key,,string,,"^syn\d{7,8}$",,,,
