Component,10xVisiumAuxiliaryFiles_id,Filename,10xVisiumRNALevel1 Key,10xVisiumRNALevel2 Key,10xVisiumRNALevel3 Key,10xVisiumRNALevel4 Key,Biospecimen Key,Study Key,DatasetView Key,File Alias,File Description,File Design,File Level,File Assay,File Species,File Url,File Format,File Data Use Codes,File Longitudinal Group,File Longitudinal Event Type,File Longitudinal Sequence Identifier,File Longitudinal Time Elapsed Unit,File Longitudinal Total Time Elapsed,Visium Run ID,Visium File Type,Visium Slide ID,Visium Capture Area,Workflow Version,Workflow Link
VisiumAuxiliaryFiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
