Component,10xVisiumRNALevel3_id,Filename,10xVisiumRNALevel2 Key,10xVisiumAuxiliaryFiles Key,Biospecimen Key,Study Key,DatasetView Key,File Alias,File Description,File Design,File Level,File Assay,File Species,File Url,File Format,File Data Use Codes,File Longitudinal Group,File Longitudinal Event Type,File Longitudinal Sequence Identifier,File Longitudinal Time Elapsed Unit,File Longitudinal Total Time Elapsed,Visium Run ID,Visium File Type,Workflow Version,Workflow Link,Visium Capture Area,Visium Spots under tissue,Visium Mean Reads per Spatial Spot,Visium Median Number Genes per Spatial Spot,NGS Sequencing Coverage,Visium Proportion Reads Mapped,Visium Proportion Reads Mapped to Transcriptome,Visium Median UMI Counts per Spot
VisiumRNALevel3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
