Component,SequencingRNALevel1_id,Filename,Biospecimen Key,Study Key,DatasetView Key,File Alias,File Description,File Design,File Level,File Assay,File Species,File Url,File Format,File Data Use Codes,File Longitudinal Group,File Longitudinal Event Type,File Longitudinal Sequence Identifier,File Longitudinal Time Elapsed Unit,File Longitudinal Total Time Elapsed,NGS Library Strategy,NGS Library Source Material,NGS Library Source Molecule,NGS Library Selection Method,NGS Library Layout,NGS Sequencing Platform,NGS Sequencing Design Description,NGS Read Length,NGS Raw Reads,NGS Unique Bases,NGS Sequencing Coverage,NGS Library Preparation Kit Name,NGS Library Preparation Kit Vendor,NGS Library Preparation Kit Version,NGS Read Indicator,NGS Library Preparation Days from Index,NGS Sequencing Library Construction Days from Index,NGS RNA End Bias,NGS RNA Reverse Transcription Primer,NGS RNA RIN,NGS RNA DV200
SequencingRNALevel1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
