Component,10xVisiumRNALevel1_id,Filename,Visium Run ID,NGS Read Indicator,Visium Spatial Read1,Visium Spatial Read2,Visium Spatial Library Construction Method,NGS Library Preparation Days from Index,NGS Sequencing Library Construction Days from Index,NGS RNA End Bias,NGS RNA Reverse Transcription Primer,NGS Sequencing Platform,Visium Capture Area,Protocol Link,Visium Slide Version,Visium Slide ID,Visium Image Re-orientation,Visium Permeabilization Time,NGS RNA RIN,NGS RNA DV200
10xVisiumRNALevel1,,,,,,,,,,,,,,,,,,,,
