Component,ImagingLevel3Image_id,Filename,ImagingChannel Key,ImagingLevel2 Key,Biospecimen Key,Study Key,DatasetView Key,File Alias,File Description,File Design,File Level,File Assay,File Species,File Url,File Format,File Data Use Codes,File Longitudinal Group,File Longitudinal Event Type,File Longitudinal Sequence Identifier,File Longitudinal Time Elapsed Unit,File Longitudinal Total Time Elapsed,Image Assay Type,Image Protocol Link,Image Platform Model,Image Platform Manufacturer,Image Software,Image Objective,Image Nominal Magnification,Image Lense Aperture,Image Working Distance,Image Working Distance Unit,Image Immersion Type,Image Pyramidal,Image Z stack,Image Timeseries,Image FOV Index,Image FOV Size X,Image FOV Size X Unit,Image FOV Size Y,Image FOV Size Y Unit,Image Frame Averaging,Image Identifier,Image Dimension Order,Image Physical Size X,Image Physical Size X Unit,Image Physical Size Y,Image Physical Size Y Unit,Image Physical Size Z,Image Physical Size Z Unit,Image Pixels BigEndian,Image Plane Count,Image Channel Size,Image Number of Timepoints,Image X Pixels,Image Y Pixels,Image Z Pixels,Image Pixel Type
ImagingLevel3Image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
