Attribute,Description,Valid Values,DependsOn,Required,Properties,Validation Rules,columnType,Format,Pattern,Minimum,Maximum,IsTemplate,Source
NanoString GeoMx DSP Level 1,Raw sequencing files from GeoMX experiments,,"NanoStringGeoMxDSPLevel1_id, Filename, NanoStringGeoMxAuxiliaryFiles Key, NanoStringGeoMXROISegmentAnnotation Key, Biospecimen Key, Study Key, DatasetView Key, File Alias, File Description, File Design, File Level, File Assay, File Species, File Url, File Format, File Data Use Codes, File Longitudinal Group, File Longitudinal Event Type, File Longitudinal Sequence Identifier, File Longitudinal Time Elapsed Unit, File Longitudinal Total Time Elapsed, GeoMx DSP Assay Type, NGS Library Strategy, NGS Library Source Material, NGS Library Source Molecule, NGS Library Selection Method, NGS Library Layout, NGS Sequencing Platform, NGS Sequencing Design Description, NGS Read Length, NGS Raw Reads, NGS Unique Bases, NGS Sequencing Coverage, NGS Library Preparation Kit Name, NGS Library Preparation Kit Vendor, NGS Library Preparation Kit Version, NGS Read Indicator, NGS Library Preparation Days from Index, NGS Sequencing Library Construction Days from Index",,,,,,,,,True,
NanoStringGeoMxDSPLevel1_id,"Unique row identifier, used as a primary key for record updates. This should be equivalent to the file Synapse Id unless otherwise indicated.",,,True,primary_key,,string,,"^syn\d{7,8}$",,,,
GeoMx DSP Assay Type,The assay type which was used for the GeoMx DSP pipeline.,"RNA nCounter, Protein nCounter, Protein NGS, RNA NGS",,,,,string,,,,,,
