CDE Public ID,Version,CRDC Name,CRDC Domain,VD Type,Example,Subset Level,Coding Instruction,Instructions,CRDC Definition,CDE Long Name,Registration Status,Workflow Status,Owned By,Used By
5432603,2,Specimen Shortest Dimension,Specimen,Non-enumerated,,,,,"The minimum length of a straight line passing through the center of the sample, measured in millimeters",Specimen Tissue Sample Shortest Dimension Millimeter Measurement,Standard,RELEASED,GDC,"CRDC,Pediatric Cancer"
6273393,2,Sequencing Library Strategy,Molecular,Enumerated,Bisulfite-Seq; ChIP-Seq,,,,,Molecular Analysis Library Sequencing Technique Type,Qualified,RELEASED,MCL,"CRDC,GDC,Pediatric Cancer"
6352164,2,Sequencing Equipment Model,Administrative,Enumerated,454 GS FLX Titanium; Illumina HiSeq 2000,,Please provide the term from the value set (based on platform value),,The name that describes the equipment used to perform a sequencing experiment.,Equipment Sequencing Model Name,Qualified,RELEASED,MCL,"CRDC,GDC,Pediatric Cancer"
7058656,2,Tumor Focality,Diagnosis,Enumerated,,,,,The characterization of the tumor as arising from or present in a single or multiple location of the body.,Specimen Tumor Mass Focality Type,Qualified,RELEASED,OCCPR,"COG,CRDC,GDC"
7572817,3,Sex at Birth,Demographics,Enumerated,,,,,The biological sex at the time of birth.,Person Sex at Birth Category,Standard,RELEASED,NCI Standards,"AMC,CCR,CIP,COG,CRDC,DCP,NCIP,NHLBI,NIH,Pediatric Cancer"
8028962,3,Specimen Preservation Method,Specimen,Enumerated,,,,,The term which describes the method used to prevent specimen decay.,Specimen Preservation Procedure Type,Standard,RELEASED,MCL,"CIP,CRDC,GDC,HTAN,Pediatric Cancer"
8028966,2,Specimen Laterality,Specimen,Enumerated,,,,,Designates the side of the organ or body structure from which a specimen was obtained.,Specimen Laterality Type,Standard,RELEASED,HTAN,"COG,CRDC,GDC,Pediatric Cancer,Theradex"
10543100,2,NCBI Taxonomy ID,Demographics,Enumerated by Reference,9606,,Only positive integer values greater than zero should be used as a NCBI taxonomy ID.,1. Go to https://www.ncbi.nlm.nih.gov/taxonomy 2. Use the search field at the top of the page to locate the organism. 3. Click on the organism name to obtain the Taxonomy ID.,"A label provided by NCBI Taxonomy Database (https://www.ncbi.nlm.nih.gov/taxonomy/), which uniquely identifies group or category, at any level, in a system for classifying plants or animals (including humans) providing ranked categories for the classification of organisms according to their suspected evolutionary relationships.",Subject Taxonomy NCBI Identifier,Standard,RELEASED,CRDC,NCIP
10609539,1,Subject Age At Diagnosis,Demographics,Non-enumerated,,,,,Age at the time of diagnosis expressed in number of days since birth.,Subject Age at Diagnosis Integer,Standard,RELEASED,CRDC,"CIP,GDC,Pediatric Cancer"
10624734,3,Person ORCID Text,Administrative,Non-enumerated,https://orcid.org/9999-9999-9999-9999,,https://orcid.org/####-####-####-####,,A persistent unique digital identifier assigned to a principal investigator by the Open Researcher and Contributor ID (ORCID) organization.,Person ORCID Text,Standard,RELEASED,CRDC,
11248865,1,Days from Diagnosis to Specimen Collection,Specimen,Non-enumerated,,,Please use natural numbers; do not use abbreviations or units,,The number of days from the date the diagnosis was made to the date a sample was collected.,Specimen Diagnosis To Specimen Collection Count,Standard,RELEASED,CRDC,
11248874,2,Days from First Subject Visit to Specimen Collection,Specimen,Non-enumerated,,,,,The number of days from the date the subject first visited to the date a sample was collected.,Specimen First Subject Visit To Specimen Collection Count,Standard,RELEASED,CRDC,
11250807,2,Days from First Treatment to Specimen Collection,Specimen,Non-enumerated,,,,,The number of days from the date the first treatment was administered to the date a sample was collected.,Specimen First Treatment To Specimen Collection Count,Standard,RELEASED,CRDC,
11251130,2,Days from Initial Genomic Sequencing to Specimen Collection,Specimen,Non-enumerated,,,,,The number of days from the date the initial genomic sequencing was done to the date a sample was collected.,Specimen Initial Genomic Sequencing To Specimen Collection Count,Standard,RELEASED,CRDC,
11251133,2,Days from Recurrence to Specimen Collection,Specimen,Non-enumerated,,,,,The number of days from the date the disease recurrence was identified to the date a sample was collected.,Specimen Recurrence To Specimen Collection Count,Standard,RELEASED,CRDC,
11253404,2,Days from Specimen Collection to Initial Pathologic Diagnosis,Specimen,Non-enumerated,,,,,The number of days from the date a sample was collected to the date of the initial pathologic diagnosis.,Specimen Collection To Initial Pathologic Diagnosis Count,Standard,RELEASED,CRDC,
11253427,1,Specimen Type,Specimen,Enumerated by Reference,,,1. Go to https://www.ebi.ac.uk/ols4/ontologies/obib 2. Type your term in the search box and click Search 3. Choose the desired term from the results,,"The kind of material that forms the sample as captured in the Ontology for Biobanking (OBIB), a specimen subset of the Ontology for Biomedical Investigations (OBI).",Specimen Material OBIB Source,Standard,RELEASED,CRDC,"GDC,NCIP"
11280338,2,Data File Description,File,Non-enumerated,,,,,A free text field that can be used to document the content and other details about an electronic file that may not be captured elsewhere.,Data File Description Text,Qualified,RELEASED,NCI Standards,"CRDC,Pediatric Cancer"
11284037,3,Data File Name,File,Non-enumerated,,,,,The literal label for an electronic data file.,Data File Name Text,Qualified,RELEASED,NCI Standards,"CIP,CRDC,GDC,Pediatric Cancer"
