Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
Cancer Metabolism,MC2 Center working group focused on the study of metabolic reprogramming in cancer.,,,FALSE,,Working Group Participation,,,,,,,,
Cell and Tissue Mechanics,MC2 Center working group focused on the mechanical properties and behavior of cells and tissues in cancer.,,,FALSE,,Working Group Participation,,,,,,,,
Education and Outreach,"MC2 Center working group focused on training, education, and community outreach activities.",,,FALSE,,Working Group Participation,,,,,,,,
Image Analysis,MC2 Center working group focused on methods and tools for analyzing imaging data.,,,FALSE,,Working Group Participation,,,,,,,,
Navigating Cancer with Science and Art,MC2 Center working group focused on using art-based approaches to communicate and explore cancer science.,,,FALSE,,Working Group Participation,,,,,,,,
None,The individual does not participate in an MC2 Center working group.,,,FALSE,,Working Group Participation,,,,,,,,
Patient Advocacy Working Group,MC2 Center working group focused on incorporating patient advocate perspectives into research.,,,FALSE,,Working Group Participation,,,,,,,,
Protein-Protein Interactions,MC2 Center working group focused on the study of interactions between proteins in cancer biology.,,,FALSE,,Working Group Participation,,,,,,,,
Resource and Data Sharing,MC2 Center working group focused on promoting and standardizing the sharing of research resources and data.,,,FALSE,,Working Group Participation,,,,,,,,
